α (°), E174 / T1-Re0.050-N5.0, α (°), E174 / T1-Re0.100-N5.0, α (°), E174 / T1-Re0.150-N5.0, α (°), E174 / T1-Re0.200-N5.0, α (°), E174 / T1-Re0.250-N5.0, α (°), E174 / T1-Re0.300-N5.0, α (°), E174 / T1-Re0.350-N5.0, α (°), E174 / T1-Re0.375-N5.0, α (°), E174 / T1-Re0.400-N5.0, 
         12.6,    0.07904344,           13,    0.07076225,           14,    0.08153915,           13,    0.06030675,           13,    0.05728944,         13.4,    0.05990338,         12.4,    0.04561205,         12.8,    0.04931322,         12.6,    0.04601471,
         12.8,    0.08289206,         13.2,    0.07378612,         14.2,    0.08577405,         13.2,    0.06306321,         13.2,    0.05996564,         13.6,    0.06270821,         12.6,    0.04789382,           13,    0.05176349,         12.8,    0.04834639,
           13,     0.0865686,         13.4,    0.07702763,         14.4,    0.09033769,         13.4,    0.06599023,         13.4,    0.06280531,         13.8,    0.06569295,         12.8,    0.05026985,         13.2,    0.05434176,           13,    0.05077792,
         13.2,    0.08998661,         13.6,     0.0808965,         14.6,     0.0952237,         13.6,      0.069103,         13.6,    0.06579821,           14,    0.06877542,           13,     0.0527381,         13.4,    0.05701331,         13.2,    0.05331803,
         13.4,    0.09471843,         13.8,    0.08501543,         14.8,     0.1004315,         13.8,     0.0724218,         13.8,     0.0690029,         14.2,    0.07209715,         13.2,    0.05532387,         13.6,    0.05978271,         13.4,    0.05591374,
         13.6,    0.09968042,           14,     0.0893907,           15,     0.1059951,           14,    0.07599182,           14,    0.07240618,         14.4,    0.07557662,         13.4,    0.05803753,         13.8,     0.0626931,         13.6,    0.05862011,
         13.8,     0.1049121,         14.2,    0.09407002,         15.2,     0.1119128,         14.2,    0.07979228,         14.2,    0.07607525,         14.6,    0.07943322,         13.6,    0.06086285,           14,    0.06568903,         13.8,    0.06143627,
           14,     0.1104416,         14.4,    0.09903117,         15.4,     0.1182029,         14.4,    0.08391953,         14.4,    0.07998786,         14.8,     0.0834718,         13.8,    0.06386368,         14.2,    0.06890246,           14,    0.06434953,
         14.2,     0.1162794,         14.6,     0.1042998,         15.6,     0.1248731,         14.6,    0.08829666,         14.6,    0.08418963,           15,    0.08791856,           14,    0.06696212,         14.4,    0.07217042,         14.2,    0.06745899,
         14.4,     0.1224045,         14.8,     0.1098765,         15.8,     0.1319203,         14.8,    0.09307847,         14.8,    0.08869602,         15.2,    0.09258844,         14.2,    0.07030936,         14.6,    0.07572007,         14.4,    0.07066999,
         14.8,     0.1409181,           15,     0.1157598,           16,     0.1393847,           15,    0.09817113,           15,    0.09345658,         15.4,    0.09756935,         14.4,    0.07372639,         14.8,    0.07931539,         14.6,     0.0741503,
           15,      0.148478,         15.2,     0.1219751,, ,          15.2,     0.1036364,         15.2,    0.09858025,         15.6,     0.1028611,         14.6,    0.07744518,           15,    0.08320722,         14.8,    0.07779295,
         15.6,     0.1750659,         15.4,     0.1284635,, ,          15.4,     0.1094955,         15.4,     0.1039934,         15.8,     0.1084093,         14.8,    0.08118359,         15.2,    0.08717823,           15,    0.08175817,
         15.8,     0.1810323,         15.6,      0.135187,, ,          15.6,     0.1157675,         15.6,     0.1097137,           16,     0.1142166,           15,    0.08528658,         15.4,    0.09149427,         15.2,    0.08607823,
           16,     0.1865415,         15.8,     0.1508491,, ,          15.8,     0.1224713,         15.8,     0.1157687,, ,          15.2,    0.08947338,         15.6,    0.09591993,         15.4,    0.09044114,
, ,            16,     0.1638687,, ,            16,     0.1296199,           16,     0.1221684,, ,          15.4,    0.09398221,         15.8,     0.1006754,         15.6,    0.09498344,
